Type,StartDate,Maturity,MarketQuote
dg,2025-12-10,2025-12-11,5.7
sw,2025-12-12,2025-12-23,5.6925
sw,2025-12-12,2026-01-14,5.5555
sw,2025-12-12,2026-02-16,5.514
sw,2025-12-12,2026-03-16,5.4955
sw,2025-12-12,2026-06-16,5.387
sw,2025-12-12,2026-09-16,5.296
sw,2025-12-12,2026-12-16,5.2305
sw,2025-12-12,2026-12-16,5.0955
sw,2025-12-12,2027-12-15,5.028
sw,2025-12-12,2028-12-14,4.931
sw,2025-12-12,2029-12-14,4.8685
sw,2025-12-12,2030-12-16,4.8305
sw,2025-12-12,2031-12-16,4.8135
sw,2025-12-12,2032-12-15,4.8045
sw,2025-12-12,2033-12-14,4.8025
sw,2025-12-12,2034-12-14,4.8045
sw,2025-12-12,2035-12-14,4.8105
sw,2025-12-12,2037-12-16,4.8295
sw,2025-12-12,2040-12-14,4.8525
sw,2025-12-12,2045-12-14,4.8385
sw,2025-12-12,2050-12-14,4.7635
sw,2025-12-12,2055-12-15,4.6735
sw,2025-12-12,2065-12-16,4.474
sw,2025-12-12,2075-12-16,4.274
