Term,Rate,PriceDate,NBD,StartDate,EndDate,PayDate
0.00274,2.7989,20250304,0,20250304,20250305,20250305
0.00548,2.7992,20250304,0,20250305,20250306,20250306
0.25479,2.8394,20250304,0,20250305,20250604,20250604
0.506849,2.7554,20250304,0,20250305,20250904,20250904
0.756164,2.6807,20250304,0,20250305,20251204,20251204
1.00274,2.633,20250304,0,20250305,20260305,20260305
1.512329,2.5806,20250304,0,20250305,20260907,20260907
2.00274,2.5455,20250304,0,20250305,20270305,20270305
3.00822,2.5154,20250304,0,20250305,20280306,20280306
4.00548,2.5235,20250304,0,20250305,20290305,20290305
5.00548,2.5264,20250304,0,20250305,20300305,20300305
6.00548,2.5397,20250304,0,20250305,20310305,20310305
7.008219,2.5531,20250304,0,20250305,20320304,20320304
8.013699,2.5638,20250304,0,20250305,20330307,20330307
9.010959,2.5719,20250304,0,20250305,20340306,20340306
10.00822,2.5856,20250304,0,20250305,20350305,20350305
12.01096,2.6049,20250304,0,20250305,20370305,20370305
15.0137,2.5598,20250304,0,20250305,20400305,20400305
20.01918,2.4243,20250304,0,20250305,20450306,20450306
25.02466,2.2474,20250304,0,20250305,20500307,20500307
30.02192,2.1085,20250304,0,20250305,20550305,20550305
